plaintext,ciphertext,algorithm,private_key
55396005148055293512009360758087404791,1488990720267876091636773528354077097333105445074875207882867221089263779113689724194454373670004,3DES,
272984898555660562044766310668366114171,38351512368109832407005387891122737437350545660723338054688696528002042163474022904402321548622010247980267379359557,AES,
159339907365822877374554248650758782142,376624505088702653466232974910782146560820121432512671680545583573840176077975037708091876965629,Blowfish,
306806033006622927781594449082155212997,40226187351328846328315621140342021927187349629284498793240104863555129383074182586728154037256,3DES,
85565417624300925974164283178843162861,14737057579333780955810198624315317753187134314270347265175304628957315266218149745715121997755055216672526187467677,AES,
188374901233715306530700686921697151516,1391645204322381403191977940964559832858243821917288699846498392916317169989132467270036946643908,DES,
326226229581034593081946585026458934372,18438368680213183333205244807863041601310998447273318432099298012327893957799,ChaCha20,
335057459602148920748080648643538653869,245707113486369537273471474046557038142919956687366516059189639970760173678459469202453920967753,3DES,
17107436525405342337383748747673325899,1594911119740768422004572715295640898719489582089722645311893436409377512863049951795257971815779,Blowfish,
232832955129021640973593734089835657273,705738326251089433479763210577050750923146264903293302440848589965215678526162265784627560546073,3DES,
183653871070752712261312092967186402554,80720695780088147538006054346653744689498128939602929744551375020215907994200,ChaCha20,
292124041639155363543670597257819041773,9430763687043118910231541623903774662237067638549243886037532314960837058063692355526405094240449840218431257347058,AES,
281553589650397831545381885118726958058,240464794291151524626314632590802700012577887823246977914880903848171079913306234981521335272617,3DES,
299071593292095071505986522356064190206,1294431576676705489822766868677027557109759220176910991065507791599752999758712132551821328549024,Blowfish,
245481347335059474255227077032017784317,1081235723516293798200750326184415241550975290299869882224498949646944624186808375937306287488763,DES,
94669118886881309432759604913951931130,1031521507757116320743009794107800951720809873148200115061200133432607176318416316368390726252611,3DES,
126138508184926770958573209525911991005,288494637188343512259639775704780862592309218021450351699344238432061965426803354467894921815624,3DES,
323991760959948757185860620084251047614,104258020020317647397732982061910593368362408075131655511997472299107557466350,ChaCha20,
322530827664163491951257690722432484735,305241905783031203885029019587356831567755433095875754054185348586830427509630253127117805006854,Blowfish,
332994194212495103715720135412718554172,1116880233018696399864973242867035566367143742530618682855771195671427031555473132573378509698207,3DES,
251893307326508522818778495506072709503,28570117178902773871733425167911587602896973386991697099239948663393189671035715953965132016093807092059580488232069,AES,
120881524517011460843613414364948402321,29565301841713654135365601301009054781918361843392626739835537788658495492436167358093402344399320392923001581806735,AES,
336932908127297260901053881583756448746,1823579522729647127043362037107591818409349179978395591201100199536614550637820733998563743901610097711103211052724,AES,
210664035593136978984479435847236187915,35820393452011441331382894619651740245975301632125019615128520130160574523498990975663613844931340829322443160558436,AES,
71550723215643608528096443657358636285,1259695387976811922103573219217084886332464537226082382924672132501673503184989979264637623476368,DES,
142534369366889140500030948937722256078,18136100282329065190209464640971602203354388599803565464934447388292475457072025229535304632467338248258853055414112,AES,
231347894823996025299326840876943867037,970607136639562933844098926527839674590789045283283770958106955878994334759013579090926013493424,3DES,
10372266896931073450137108804553887020,19403480176073928873316436789052619400800418710199783927097934600794159707516465300992222488858479313344806034349770,AES,
230095960887769961062760133560707449960,81999903932419437887960787875934636925580234093697732530645380689202759088157,ChaCha20,
23280349377937371368504526665174133438,31948850941719529899882246879179492453138454637268873725249020025216966211608427957987694417685216823267301638454510,AES,
133086937068640669743481344000098557119,1420774612426155812383984227679653188540938806952933050351460551875667456370713426973888795617327,DES,
251538257829657787364675652084840263158,1730393598707385659062946715496031473632609449037726964253643833885337038034834908544302630011008,3DES,
159215663176399803162542324590934287550,48033978293476424581962195130396894300122538004048475688437597147767369155611,ChaCha20,
138116481641165071027336795916351773420,88479899523450272001338563131838124383320191636908528432560824273126881334737201397741028481639,3DES,
198832462896301571502869084759913341411,1539901594206117828869306541384034684638128874669975391633586207933736155539489311294487497216107,3DES,
248270536229391098698603115282546880299,690553225235364085364365880588338980732282181677444188080625040725961839624076283473357382500253,3DES,
78545702665865218044191380217538538076,11395298527737106217713385432208325294537284525055428903305004584263277741376021317879567301940853624831057301851886,AES,
259198465226763353842053998227315867375,1923869392043042870250310214316672625100138181602944935501838784175935578920260791063129577912816,Blowfish,
100931096150746111863569022224991067868,1245063949145053261989027252623293454283643434337676167080586990830722376795764750477598008569535,DES,
298074966544735002964002963866667244780,36694569655207558050354699585130095178527216506940876604027469607346518297752258965636452346179207893502024666492990,AES,
61127356397714578844831991470194035423,1741973998525143984905015002231990437680904802112722858489513677256443239205900710813494497002479,DES,
187490406360818589370012286774578695325,133601521637007769675188655210333853394992888392994687390938397051492154919920466682633874825631,DES,
202541256802791864094322493542208108493,671867772798587702045885924263919637885510524256409472768201313153406122500438729581116295254032,Blowfish,
332261829143113916447117550684713756866,14169403602869523913819944579333007341792867309289384505330306261695111620147722492238274652818807541703701655004196,AES,
336455592204731750876505139676705378303,28627462627269906950628610100885593635721513417292100492646142838941983292384582640652328654974874445010860523477437,AES,
142550607536180817492902809506270707467,72483521658217470453999004880439540435836629803182162085699508598820334279291,ChaCha20,
273994472527070325675769337144810056235,1538840153466140370165681127145615235110612128445266992737128787567476185619904001835649331879546,3DES,
89506302407994465653497790454405509328,110467659089783997640861948911981644918228989858126642155007868835241736651265864840157181029567,Blowfish,
261763690673933357287413613153201483409,9899017477668232100068335032700727823811917793825562751112034679718215264759551723012426905779728277670319104562461,AES,
316941787812441873761127596109657469711,491713142374596361612475090641457309668245201505220015135232128842673769503722822108489478874235,DES,
334014300647935483634158745843350153303,217308081256022901376646171004267365938829709077007094031634937670661323764170491547545440672139,3DES,
9526589192470641429949513164963765944,14813992546865217335434856880093728378266696998375194424195000947296725837472,ChaCha20,
219245290397977768276345526910339906808,785895617506112943704714075245148448207956715926538377226254228237898442872196139980722121647471,Blowfish,
277201513201516135021545625565757618015,4888300040753861437887272153514956732589775088354908761448157622688996587757851137813728879931173089862950041774905,AES,
112825574687116946412110608594872745700,36857850059218720916085064684927139075079044958844746512682577394109641318734126958000134555401767956435132419073427,AES,
99216415196296169194615058686262733550,838015992797626077900719492282441682463246096438687790099484719857611080835919840164165871254938,DES,
205426959045554732329982064209712323692,2019910555292485029019222593082627924665607159160953262119134744760588794863571779620860607942104,DES,
161550765677429759725341370981923547691,349742373140392482803603363629709522197889892840486768465213783990824477771723165586363084501454,Blowfish,
101364897472792135464534188172313217451,6137357704552402417994970265913357507674434127605958773450476312514517231149,ChaCha20,
233201362614900566802009398743025228479,574402630531592329050384699987526846578697988612165733655086917840820635565408270262597506860793,3DES,
244312759759180167163611868913376553753,5368297612283561789584654810129688999356666817786388555334484504193591152631748490898287712318573891402568527967407,AES,
189766987650368948664609252265395999652,478223753883910290029237711115245542080674889705423947249221845081167055197519094846590757789755,Blowfish,
59907037287859041516100991130849815174,1160924068895163183379454752943226632073078259783022507529824132806970505955305757422298358408997,Blowfish,
258963227125848611101021854165132568842,19926713663975813452983674295894470536213711463691884807287003064146151540796,ChaCha20,
315671502870725538030599733291900072235,27049171796700096599455265325810217958645318779253570400970205164192076472887,ChaCha20,
220292015877722042813798506092710402363,1625818524011908092377181414690992523615190109461922457326558160087327312007430090049310006476771,DES,
184087271585759150382524842343452785918,15019527728479051121401657099466469941446622102833216802182873905143414477890078275095450222149322562133904025501723,AES,
214005613116242329669911073110079767295,9486918899542248834213853579640820538674939640154897982012552061463634698030732391562110201119390552049016899097360,AES,
71181756256177369254346212422481262071,1008543466075268313810847866681702005814386273631127971617735355605976677619694745801010581631363,3DES,
300950026618623176815660587600632855670,102880461536822445391022173555798369737418249859626154298959356771740527211065,ChaCha20,
151676110274344230651954517925822173166,79044971487382087655468361906508794491259936160928584081506581816720783176856,ChaCha20,
321238316168820208752851654409496231914,57010410709555217010532527511791999650502578720408620280851744843601236953293882508932839580424,Blowfish,
299641587477177782976150307521042735187,1803221330763457057274828301206536097296680576755983005985674931595883427688233527730622129166226,3DES,
234981239115659059109892681513473648761,57677278726510901273769438076506678366157288312934664788865179439009499223832,ChaCha20,
45903937915008926755827960848840568863,470776439737130953611805195803848254959238988275215160842220117304475878232312443201136499565800,Blowfish,
219509637745725664896485889650622622430,560627827245973234792542996663426322322222870620783013902976610591590221425795108563847767689168,3DES,
327001769622945619111902688344661079690,81379484416651319378926152267521045086939205457178552093848476160919685058528786835980671006910,3DES,
323492058285476237649216160185084599737,1767898289603811681989702959167132474757350357749409298117502044376525847188643471564146176334819,DES,
333218503330336410865056255648115300082,126033273006999953572047509610642354747729502470591114213844390157263038610917118772405431262162,Blowfish,
317861962914775547434751058843974858244,1611595290543014374987343647618749989612326185889640537955404086902626413171024736630600976775537070185537729069523,AES,
298597959713525685406765027195085120606,668322645509710152773447604185486493165787241002501846953876369077721342238812937228485840761259,DES,
306786128421123508992950818835792839872,3353867230146706356580162010715240427139640389687571132551391340202921273350974278977114431714,Blowfish,
124693888310226526652732634049811500950,5466684698591050192067343545523775494030392343157734692622977911400690900099,ChaCha20,
105253581950182017405270259634013934752,271389798841955734935939819317198966466758325153735988076622401279222787138421699594118042026852,3DES,
236327346808238006514845593540936947183,571977510631268062050960662285594196935638423381821100915477251491302937754068828423124501213444,3DES,
144219853250017056457770596894129693917,1187406771928170890665520234015945247689532353029341974882476000318868398539500646325733515014267,3DES,
79619827901652583107876452722749197343,610026844191006201690923544955212215392829705155805279946778804645789346873085843445145059179029,3DES,
122135778834007748415771796211294452197,1012656356208575535981134164847567255698747659789639057359764430656132894668343553384461213937494,DES,
316604147455304396837646016975261740767,839230648344674198042367110421927121184641679550156802618643261005105176902434931367661620157537,DES,
216054326133261137900356604691377011712,1814900004821735652179437968822208080575973594041808789945772013980638031385260394882932878546988,DES,
337664717368605249670747640143758693139,832477822615700596025682895550309454755999581283803520954168875484788980458150148486434253550615,3DES,
128678603580151821710947586727213331824,1298635489278941115408565906721592256336928189361627684146376853691140108361606851465742225265181,3DES,
266561394251544519588359255343480940362,1620235054014497915735472382957474641157966717202821171181526319226870974794807867772008658746625,3DES,
187352267468920949532718231822983270077,97604479191393788709986817888991928293892694685502878517012628208264226197939,ChaCha20,
322809790970959199006937648798679066580,16749328711298546914268436026504243177905382254122539895871848743097512907874896036027600406489478164638121102145438,AES,
264930062278887782724340893942074334297,1928044305105685717820673921177365977529939321373662809043996247953931776313821736983164030129066,3DES,
19491311696303158565534123000336061950,16662426793770727401943286232390857735515039645774780502505816932284033148083,ChaCha20,
229040646184781670466157554033022204607,17711136021650010867614004860111569150227198508704595490710726376872007899616730157238027033944486987216064849076144,AES,
34496010690415928514878849174757710922,1636460848526755478548617161604727766328585441200507889477349957329895699979333816446259108409937,DES,
272245457193711663332763102695019342585,44318991869725082841548506953823696918242255968886609700960980876882353262213,ChaCha20,
169791750328209321424996228635295028935,737442752107800694962223790782246066513309375111260802135297374953445056724416360214448312628212,3DES,
138528498031893805123375009781236292054,4546834282199514513221139286884551735725857804673857489543138130999420828771403688197725559021700130845302843969167,AES,
125782679601094847808373843918300762986,2042277449506575869805012422627601501034902410103635689272313525988275196255580708353602956011952,3DES,
230978975478267088876614959548730308326,667372995143819903859643522110525272034543392191583542826932813781612014811519025611642285465003,DES,
311682783772140141847554666365641881307,1758686121046224861953037492347837096843542937262274601771485309590259535676011101751429439011989,3DES,
167057539877520924680918318667782127598,4348802580580281494804414880543036925469228302919559462590437057738101317402065872443304934245903915853095219980121,AES,
43337274560806538648723438924610002669,27819774341171071104140589723363525463823993446625013642310596210979878556203666752890979861783883214809976834688021,AES,
234504868670348120704733402910978813301,1220477249791942782134899460873765476055782646496748278753591257442268579755594723145764265147226,3DES,
301272799551794907738347537179687083890,815047494815837173288696589253443127311872598744070986886048347566728715037817372326064453433575,3DES,
332287196633350327331724997609496881916,21775239695750712344619225860911630855888445523182714006338268395856035439812974145425384123741008491285039777525974,AES,
331410003351790155698955064141501349551,89070973370083585974788157942152085229871836542154128074332232328189240359080,ChaCha20,
313691199701053160177754524729927806139,747917832403539324942161288770890996216095283998280147449848250410402736137297177811257659370192,DES,
210016396061435781358405328708070289110,921765930071893755425236567020020150148590822549354886812445106385185063226329132969938649678196,3DES,
150165054090931642113694133043612777453,1454022542383752418902863396628497113145934795603436916863915431891567545424460444079723256908123,Blowfish,
182139076420738563423103593193937622693,472249206787479170788446189004173524271372720754312379637411765392140462599692849772988459631135,DES,
163274813887400150786345440827547658031,509360802041975923633109203364475134374049241732162857274401323219251157316766103450614172885639,DES,
57795328060944920613108474066605091754,13370653728487740574854104955477730494974963623199531326636813682735195158329,ChaCha20,
253539479629854540905616622439349475830,494938564064436508585156086739231901880370453446307990358120045948553556730962070599856598616875,3DES,
25366439400371812851082828683061619803,1232888017397111745310845366422049702102316041186438488504793728900323903472021777877248259911551,Blowfish,
249700371367041385171299469995979581890,127816638712564113787090011902979691033682140868996348028617592794547410069859367267535303239586,Blowfish,
36939882704251025062910400282955793090,22343515613941396921912784511976371114393320394360247707572246669463494036325362229874323880565645422708486762839901,AES,
167662110554620042837360624354286042106,815447788785032089268075304982667654492032515120160851370800533805533936619523485691870328882061,3DES,
291408850382972998499652967817732730269,41549923437298436755656783536881468760276521029237745918045828493474751767693,ChaCha20,
79924616075841854086216645962920619982,102600972963326452423581091068791391085695939251385636010587145720833105781484,ChaCha20,
